Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2010' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 5 Jan 2026 11:48:34 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,Latvia,2024,,9,,Spartan,armoured personnel carrier,9,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,0.9,0.9
Ukraine,Australia,2024,,100,?,RBS-70 Mk-3 Bolide,portable SAM,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion od Ukraine,0.04,4,4
Ukraine,Montenegro,2022,?,226,,Strela-2,portable SAM,226,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,3.62,3.62
Ukraine,Turkiye,2023,,50,?,Cobra-2,armoured personnel carrier,50,?,2023,New,,0.25,12.5,12.5
Ukraine,United States,2022,,440,,MaxxPro,armoured personnel carrier,440,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 40 mine-clearing version,0.13,56.32,56.32
Ukraine,Poland,2023,,100,?,Dozor-B,armoured personnel carrier,100,?,2023; 2024,New,Oncilla version,0.15,15,15
Ukraine,Australia,2024,?,100,?,JDAM-ER,guided glide bomb,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,4,4
Ukraine,United States,2022,?,,,Phoenix Ghost Disruptor,one-way attack drone,260,?,2023; 2024,New,,0.06,0,15.6
Ukraine,Romania,2024,,1,,Patriot Configuration-3,SAM system,1,,2024,New,Second-hand (but not yet used operationally by Romania); aid after 2022 Russian invasion of Ukraine; partly financed by Norway,55,55,55
Ukraine,Bulgaria,2023,?,10,?,2S1 122mm,self-propelled gun,10,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,France,2022,,4,,M-270 MLRS 227mm,multiple rocket launcher,4,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; LRU version,0.48,1.92,1.92
Ukraine,Germany,2022,,50,,Dingo-2,armoured personnel carrier,50,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.14,7,7
Ukraine,France,2022,,6,,TR-F-1 155mm,towed gun,6,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.38,2.28,2.28
Ukraine,Czechia,2022,,20,?,T-72M1,tank,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.04,20.8,20.8
Ukraine,United States,2022,,,?,FGM-148 Javelin,anti-tank missile,22000,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.01,0,264
Ukraine,unknown supplier(s),2022,,3,?,ScanEagle,UAV,3,?,2022,Second hand,Aid after 2022 Russian invasion of Ukraine,0.02,0.05,0.05
Ukraine,Italy,2022,,4,,X-TAR,air-search radar,2,,2023; 2024,New,For use with GDM-008 Mk-1 anti-aircraft guns (part of Skyshield-35 (Skynex) air defence systems); financed by German aid,5,20,10
Ukraine,United Kingdom,2024,,160,,MXT-MV,armoured personnel carrier,160,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Husky version,0.06,10.24,10.24
Ukraine,Germany,2022,,14,,PzH-2000 155mm,self-propelled gun,14,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,25.2,25.2
Ukraine,United States,2022,,150,,HMMWV-UA,armoured personnel carrier,150,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.13,19.5,19.5
Ukraine,United Kingdom,2022,,60,?,Cougar,armoured personnel carrier,60,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Mastiff and Wolfhound versions,0.14,8.4,8.4
Ukraine,United Kingdom,2022,,82,?,Spartan,armoured personnel carrier,82,?,2022; 2023,Second hand,Second-hand; financed with Ukrainian private donations;  including Samaritan ambulance; Sultan command post and Samson recovery versions,0.1,8.2,8.2
Ukraine,United Kingdom,2022,,6,,M-270 MLRS 227mm,multiple rocket launcher,6,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.48,2.88,2.88
Ukraine,United Kingdom,2022,,40,?,Spartan,armoured personnel carrier,40,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; including Samaritan ambulance; Sultan command post and Samson recovery versions,0.1,4,4
Ukraine,United Kingdom,2022,,14,,Spartan,armoured personnel carrier,14,,2022,Second hand,Second-hand; financed with Ukrainian private donations; incl Sultan command post and Samaritan ambulance versions,0.1,1.4,1.4
Ukraine,Slovakia,2022,,4,,Mi-17,transport helicopter,4,,2022,Second hand,Second-hand; financed by EU aid after 2022 Russian invasion of Ukraine; Mi-17M version,2.9,11.6,11.6
Ukraine,Sweden,2023,,8,,Archer 155mm,self-propelled gun,8,,2023,New,Second-hand but never used; aid after 2022 Russian invasion of Ukraine,1.5,12,12
Ukraine,United States,2022,,75,?,AIM-120C AMRAAM,long-range air-to-air missile,75,?,2024,New,Financed by Canada as aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.6,45,45
Ukraine,Czechia,2022,,1,,T-72M1,tank,1,,2022,Second hand but modernized,Second-hand T-72M1 but modernized to T-72 Avenger before delivery; CZK25 m ($1 m) deal funded by private aid after 2022 Russian invasion of Ukraine,1.72,1.72,1.72
Ukraine,Lithuania,2022,,25,?,Stinger,portable SAM,25,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.8,0.8
Ukraine,United States,2023,,466,?,BATT,armoured personnel carrier,189,,2023; 2024,New,Financed by FRG; from German production line,0.16,74.56,30.24
Ukraine,Germany,2022,,165,,Marder-1A3,infantry fighting vehicle,140,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.68,112.2,95.2
Ukraine,France,2018,,14,?,AS-350/AS-550 Fennec,light helicopter,2,?,2023,New,Part of EUR555 m deal for 24 for non-military border guard role but 14 for military role after 2022 Russian invasion of Ukraine; H125 version,0.9,12.6,1.8
Ukraine,Belgium,2022,,28,?,M-109A1 155mm,self-propelled gun,28,?,2022,Second hand,Second-hand; financed by UK aid after 2022 Russian invasion of Ukraine; M-109A4BE version,0.44,12.32,12.32
Ukraine,Spain,2022,,105,?,MIM-23B HAWK,SAM,105,?,2022; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for I-HAWK SAM systems,0.07,7.14,7.14
Ukraine,Norway,2022,,10,,NASAMS-2,SAM system,6,?,2024,New,Financed by US financial aid after 2022 Russian invasion of Ukraine,15,150,90
Ukraine,Czechia,2023,,4,,VERA-E,air-search system,4,?,2024,New,EUR150 m deal; financed by Netherlands as aid after 2022 Russian invasion of Ukraine; VERA-NG version,12,48,48
Ukraine,Portugal,2022,,5,,Ka-32,transport helicopter,5,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2.9,14.5,14.5
Ukraine,United States,2022,,7000,?,M-982 Excalibur,guided shell,7000,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,112,112
Ukraine,Turkiye,2023,,1,,Bayraktar TB2,armed UAV,1,,2023,New,Donated by producer,2.4,2.4,2.4
Ukraine,France,2022,,18,,CAESAR 155mm,self-propelled gun,18,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,7.92,7.92
Ukraine,Germany,2022,,12,,PiPz-2 Dachs,armoured engineer vehicle,12,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,9.6,9.6
Ukraine,France,2022,,50,?,VT-1,SAM,50,?,2022,Second hand,Second-hand; aid; for Crotale-NG SAM systems,0.06,3,3
Ukraine,Norway,2022,,160,,AGM-114 Hellfire,anti-tank missile,160,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Rb-17 (AIM-114C) version for coastal defence,0.02,2.56,2.56
Ukraine,Italy,2022,,10,,LMV,armoured personnel carrier,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.06,0.6,0.6
Ukraine,Italy,2022,,60,?,M-109A1 155mm,self-propelled gun,60,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-109L version,0.44,26.4,26.4
Ukraine,Denmark,2023,,19,,F-16C,FGA aircraft,14,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; F-16AM version; delivery planned 2024-2025,11.4,216.6,159.6
Ukraine,United States,2022,,20,?,MPQ-64 Sentinel,air-search radar,12,?,2024,New,Aid after 2022 Russian invasion of Ukraine; for use with 10 NASAMS SAM systems from Norway,5,100,60
Ukraine,Spain,2022,,1,,Spada,SAM system,1,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,8,8,8
Ukraine,Norway,2023,,6,,F-16C,FGA aircraft,6,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; F-16AM version,11.4,68.4,68.4
Ukraine,United States,2022,,30,,K-6 120mm,mortar,30,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-120 version,0.1,3,3
Ukraine,Germany,2022,,5,,M-270 MLRS 227mm,multiple rocket launcher,5,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; MARS-2 version,0.48,2.4,2.4
Ukraine,France,2022,,378,?,VAB-VTT,armoured personnel carrier,378,,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl ambulance version,0.12,45.36,45.36
Ukraine,unknown supplier(s),2023,,10,?,AIFV,infantry fighting vehicle,10,?,2023,Second hand,Second-hand,0.36,3.6,3.6
Ukraine,Portugal,2023,,9,,L-118 105mm,towed gun,9,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '105mm guns'),0.24,2.16,2.16
Ukraine,United Kingdom,2022,,50,?,AIM-120C AMRAAM,long-range air-to-air missile,50,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS SAM systems,0.24,12,12
Ukraine,United States,2022,,39,,vehicle engine,vehicle engine,39,?,2022,New,Caterpillar C-9 (450hp) diesel engine for 39 LAV-6 armoured personnel carriers from Canada,0.08,3.12,3.12
Ukraine,United States,2022,,450,?,HMMWV-UA,armoured personnel carrier,450,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.05,23.4,23.4
Ukraine,United Kingdom,2022,,3,,Sea King HAR-3,transport helicopter,3,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Sea King HU-5 version; for SAR,2.7,8.1,8.1
Ukraine,United Kingdom,2022,,50,?,Brimstone-2,air-to-surface missile,50,?,2022,New,Aid after 2022 Russian invasion of Ukraine,0.2,10,10
Ukraine,Czechia,2022,,18,,One 150,UAV,16,,2023; 2024,New,Financed by aid from Germany after 2022 Russian invasion of Ukraine,0.2,3.6,3.2
Ukraine,United States,2022,,250,?,AIM-120C AMRAAM,long-range air-to-air missile,250,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for NASAMS-2 SAM systems,0.24,60,60
Ukraine,France,2022,,2,,Crotale-NG,SAM system,2,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,4,8,8
Ukraine,Poland,2022,,300,?,Warmate,one-way attack drone,300,?,2022,New,Aid after 2022 Russian invasion of Ukraine; incl some financed by Lithuania,0.01,3,3
Ukraine,Poland,2022,,400,?,BMP-1,infantry fighting vehicle,400,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BWP-1 version,0.36,144,144
Ukraine,Poland,2023,,24,?,AMV-RAK,self-propelled mortar,8,?,2023; 2024,New,,0.9,21.6,7.2
Ukraine,Latvia,2022,,4,,Mi-17,transport helicopter,4,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 2 Mi-8MTV-1 version,2.9,11.6,11.6
Ukraine,Germany,2023,,5,?,Luna-NG,UAV,5,?,2023,New,Aid after 2022 Russian invasion of Ukraine,0.2,1,1
Ukraine,Poland,2022,,160,?,V-601,SAM,160,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for S-125 Newa-SC SAM system,0.05,7.68,7.68
Ukraine,United States,2022,,1200,?,M-113A3,armoured personnel carrier,1200,?,2022; 2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 300 ambulance version,0.12,144,144
Ukraine,Finland,2022,,5,?,XA-180,armoured personnel carrier,5,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; XA-185 version,0.12,0.6,0.6
Ukraine,UAE,2022,,,?,Titan,armoured personnel carrier,14,?,2022; 2023; 2024,New,Probably financed by USA as aid after 2022 Russian invasion of Ukraine; Titan-S version,0.13,0,1.82
Ukraine,Poland,2023,,150,?,AMV-IFV,infantry fighting vehicle,100,?,2023,New,Financed by EU and USA aid after 2022 Russian invasion of Ukraine; Rosomak version,1.02,153,102
Ukraine,United Kingdom,2022,,820,?,GMLRS,guided rocket,820,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,26.24,26.24
Ukraine,United States,2022,,,?,Phoenix Ghost Dagger,one-way attack drone,4000,?,2022; 2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,0.02,0,80
Ukraine,Slovenia,2024,?,20,,BOV M-86,armoured personnel carrier,20,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.07,1.44,1.44
Ukraine,United States,2022,,2,,NASAMS-2,SAM system,2,,2022,New,Aid after 2022 Russian invasion of Ukraine,25,50,50
Ukraine,United States,2024,?,,,AIM-120D AMRAAM,long-range air-to-air missile,250,?,2024,New,Aid after 2022 Russian invasion of Ukraine; for NASAMS-2 SAM systems and F-16 combat aircraft,0.8,0,200
Ukraine,Poland,2023,?,1,?,S-200 Angara,SAM system,1,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,14,14,14
Ukraine,Poland,2023,?,3,,Kvadrat,SAM system,3,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,7,21,21
Ukraine,United Kingdom,2024,,1500,?,Paveway,guided bomb,1500,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; Paveway-4 version,0.01,12,12
Ukraine,United States,2023,?,50,,vehicle engine,vehicle engine,10,,2024,New,Caterpillar C-9 (450hp) diesel engine for 50 LAV-6 armoured personnel carriers from Canada,0.08,4,0.8
Ukraine,United States,2022,?,,,Phoenix Ghost Dominator,one-way attack drone,260,?,2023; 2024,New,,0.06,0,15.6
Ukraine,Spain,2024,?,6,?,Alakran 120mm,self-propelled mortar,6,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use on VAMTAC light vehicle,0.12,0.72,0.72
Ukraine,Poland,2023,?,20,?,S-200,SAM,20,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.2,4,4
Ukraine,Poland,2023,,180,?,3M9,SAM,180,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.05,8.64,8.64
Ukraine,United States,2023,?,12,?,M-106A3,self-propelled mortar,12,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-1064 version,0.22,2.64,2.64
Ukraine,United States,2024,?,,,AIM-9X Sidewinder,long-range air-to-air missile,250,?,2024,New,Aid after 2022 Russian invasion of Ukraine; for NASAMS-2 SAM systems and F-16 combat aircraft; AIM-9X Block-2 version,0.18,0,45
Ukraine,unknown supplier(s),2023,,50,?,vehicle engine,vehicle engine,50,?,2023,New,For Cobra-2 armoured personnel carriers from Turkiye,0.05,2.5,2.5
Ukraine,Jordan,2022,,11,?,APC-79 Fighter,armoured personnel carrier,11,?,2022,New,,0.14,1.54,1.54
Ukraine,United States,2024,,5,?,MMR,multi-role radar,5,?,2024,Second hand,Aid after 2022 Russian invasion of Ukraine,2.6,13,13
Ukraine,United Kingdom,2022,,300,?,LMM Martlet,anti-ship missile/ASM/SAM,300,?,2022,New,Aid after Russian invasion of Ukraine; for Stormer HVM SAM systems and portable launchers,0.1,30,30
Ukraine,Sweden,2024,,50,?,RBS-70,portable SAM,50,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,1.6,1.6
Ukraine,Croatia,2024,,30,,M-84A4 Sniper,tank,30,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.12,33.6,33.6
Ukraine,United Kingdom,2023,?,21,?,Stormer,armoured personnel carrier,21,?,2023; 2024,Second hand,Second-hand,0.12,2.52,2.52
Ukraine,Sweden,2024,,100,?,BGM-71 TOW,anti-tank missile,100,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; TOW-2 (Rb-55) version,0,0.4,0.4
Ukraine,Germany,2024,,200,?,AIM-9M Sidewinder,short-range air-to-air missile,200,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; AIM-9/LI-1 version,0.05,9.6,9.6
Ukraine,Morocco,2022,,90,,T-72B,tank,90,?,2022; 2023,Second hand,Second-hand (but modernized in Czechia before delivery); financed by Netherlands and USA as aid after 2022 Russian invasion of Ukraine (were in Czechia for modernization for Morocco diverted to Ukraine; possibly as sale via Czech company for USA and Netherlands aid to Ukraine or possibly delivered to Ukraine without permission from Morocco),1.04,93.6,93.6
Ukraine,United States,2024,,2,?,V-BAT-128,UAV,2,?,2024,New,,0.05,0.1,0.1
Ukraine,Croatia,2024,,2,,An-32,transport aircraft,2,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; An-32B version,4.4,8.8,8.8
Ukraine,United Kingdom,2024,,650,,LMM Martlet,anti-ship missile/ASM/SAM,50,?,2024,New,GBP162 m ($214 m) aid after 2022 Russian invasion of Ukraine,0.1,65,5
Ukraine,United States,2024,,500,?,ATACMS Block-1A,surface-to-surface missile,500,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,400,400
Ukraine,Germany,2024,,,,AIM-7M Sparrow,long-range air-to-air missile,100,?,2024,Second hand,Second-hand; RIM-7 Sea Sparrow (SAM) version; aid after 2022 Russian invasion of Ukraine,0.07,0,7.2
Ukraine,Bosnia-Herzegovina,2022,?,22,?,M-74 120mm,mortar,22,?,2023,New,,0.25,5.5,5.5
Ukraine,United States,2024,,3,,HIMARS,multiple rocket launcher,3,,2024,Second hand,Second-hand; financed by German aid after 2022 Russian invasion of Ukraine,0.44,1.32,1.32
Ukraine,Qatar,2024,,12,,PzH-2000 155mm,self-propelled gun,7,?,2024,Second hand,Second-hand; financed by Germany as aid after 2022 Russian invasion of Ukraine,1.8,21.6,12.6
Ukraine,United Kingdom,2022,?,5,?,Saracen,armoured personnel carrier,5,,2023,Second hand,Second-hand,0.08,0.4,0.4
Ukraine,Poland,2022,,19,,Dzik,armoured personnel carrier,19,?,2022,Second hand,Second-hand,0.06,1.14,1.14
Ukraine,Poland,2022,,61,,MT-LB,armoured personnel carrier,61,,2022,Second hand,Second-hand,0.1,6.1,6.1
Ukraine,Romania,2024,?,10,?,MIM-104 PAC-3,ABM missile,10,?,2024,Second hand,Aid after 2022 Russian invasion of Ukraine,0.32,3.2,3.2
Ukraine,Spain,2023,?,3,?,BMR-600,armoured personnel carrier,3,?,2023; 2024,Second hand,Second-hand; ambulance version; aid after 2022 Russian invasion of Ukraine,0.12,0.36,0.36
Ukraine,Estonia,2022,,30,,M/41D 120mm,mortar,30,,2022,Second hand,Second-hand; aid,0.1,3,3
Ukraine,Germany,2024,,128,?,MIM-104 PAC-3,ABM missile,128,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.32,40.96,40.96
Ukraine,United Kingdom,2024,,16,?,AS-90B Mallet 155mm,self-propelled gun,16,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.8,12.8,12.8
Ukraine,United Kingdom,2024,,90,,Brimstone-2,air-to-surface missile,90,,2024,New,Aid after 2022 Russian invasion of Ukraine,0.2,18,18
Ukraine,North Macedonia,2022,,4,?,Su-25,ground-attack aircraft,4,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 1 Su-25UB combat/trainer version,4.6,18.4,18.4
Ukraine,United States,2023,,,,JDAM-ER,guided glide bomb,2750,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,0,110
Ukraine,Turkiye,2022,,200,?,Kirpi,armoured personnel carrier,200,?,2022; 2023; 2024,Second hand,Second-hand,0.14,28,28
Ukraine,France,2023,?,600,?,AASM Hammer,air-to-surface missile,600,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.08,48,48
Ukraine,France,2023,,90,?,Storm Shadow/SCALP-EG,air-to-surface missile,90,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.26,23.04,23.04
Ukraine,Latvia,2022,?,20,?,Stinger,portable SAM,20,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.03,0.64,0.64
Ukraine,France,2023,,6,,CAESAR 155mm,self-propelled gun,6,?,2024,New,,1.1,6.6,6.6
Ukraine,Slovakia,2022,,8,,Zuzana-2,self-propelled gun,8,,2022; 2023,New,,1.32,10.56,10.56
Ukraine,Slovakia,2022,?,16,,Zuzana-2,self-propelled gun,2,,2023,New,EUR93 m deal; financed by Denmark; Germany and Norway as aid after 2022 Russian invasion of Ukraine,1.32,21.12,2.64
Ukraine,United Kingdom,2023,,30,?,BvS-10,armoured personnel carrier,30,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,3,3
Ukraine,Canada,2022,,39,,LAV-6,armoured personnel carrier,39,?,2022,New,Aid after 2022 Russian invasion of Ukraine; ASCV-TCV version,0.37,14.43,14.43
Ukraine,Finland,2022,,10,?,M-92 120mm,mortar,10,?,2022,Second hand,,0.1,1,1
Ukraine,Germany,2023,,16,?,TRML-4D,air-search radar,16,?,2023; 2024,New,Aid after 2022 Russian invasion of Ukraine,12,192,192
Ukraine,Norway,2023,,100,?,IRIS-T,long-range air-to-air missile,100,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for IRIS-T SAM systems,0.08,8,8
Ukraine,Finland,2023,,10,?,2S1 122mm,self-propelled gun,10,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,Estonia,2024,,50,?,Mistral,portable SAM,50,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.04,1.8,1.8
Ukraine,Belgium,2023,,20,?,AIM-9M Sidewinder,short-range air-to-air missile,20,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.05,0.96,0.96
Ukraine,Belgium,2023,,20,?,AIM-7M Sparrow,long-range air-to-air missile,20,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; RIM-7 SAM version,0.07,1.44,1.44
Ukraine,Italy,2024,,1,,SAMP/T,ABM/SAM system,1,,2024,Second hand,Probably second-hand; aid after 2022 Russian invasion of Ukraine,22,22,22
Ukraine,Denmark,2022,,54,,M-113A3,armoured personnel carrier,54,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,6.48,6.48
Ukraine,Czechia,2023,,2,,Kvadrat,SAM system,2,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,7,14,14
Ukraine,Sweden,2024,,205,?,PBV-302,armoured personnel carrier,205,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,24.6,24.6
Ukraine,Czechia,2022,,75,?,BMP-1,infantry fighting vehicle,75,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; BVP-1 version,0.36,27,27
Ukraine,Denmark,2022,,20,?,K-6 120mm,mortar,20,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.1,2,2
Ukraine,Spain,2024,,10,?,MIM-104 PAC-2,SAM,10,?,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,4,4
Ukraine,Germany,2024,,100,,IRIS-T,long-range air-to-air missile,100,?,2024,New,Aid after 2022 Russian invasion of Ukraine,0.2,20,20
Ukraine,Netherlands,2024,,1,,MPQ-53,SAM system radar,1,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Patriot SAM system,6,6,6
Ukraine,United States,2023,,18,,M-60 AVLB,armoured bridgelayer,18,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,7.2,7.2
Ukraine,Slovakia,2023,,30,?,3M9,SAM,30,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Kvadrat SAM system,0.05,1.44,1.44
Ukraine,Croatia,2024,,30,,M-80,infantry fighting vehicle,30,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.36,10.8,10.8
Ukraine,Slovenia,2024,?,6,,BOV-3,self-propelled anti-aircraft gun,6,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.14,0.84,0.84
Ukraine,Czechia,2023,,9,,DITA,self-propelled gun,9,,2024,New,Financed by Netherlands as aid after 2022 Russian invasion of Ukraine,1.4,12.6,12.6
Ukraine,United Kingdom,2022,?,2,?,Challenger ARRV,armoured recovery vehicle,2,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.9,1.8,1.8
Ukraine,unknown supplier(s),2023,,50,,M-113,armoured personnel carrier,50,,2023,Second hand,Second-hand,0.1,5,5
Ukraine,Poland,2022,,4,?,Osa,mobile SAM system,4,?,2022,Second hand,Second-hand; aid after 2022 invasion of Ukraine; Osa-AKM version,4,16,16
Ukraine,Croatia,2022,,3,,Mi-8T,transport helicopter,3,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; incl 1 Mi-8PS version,2.4,7.2,7.2
Ukraine,United States,2022,,,?,AIM-7M Sparrow,long-range air-to-air missile,800,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for use with Ukrainian SAM systems; incl RIM-7 version,0.07,0,57.6
Ukraine,Canada,2014,,39,?,Spartan,armoured personnel carrier,39,,2014; 2015,New,,0.16,6.24,6.24
Ukraine,United States,2022,,39,,HIMARS,multiple rocket launcher,39,?,2022; 2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.44,17.16,17.16
Ukraine,Australia,2022,,28,,Waran,armoured personnel carrier,28,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; M-113AS4 version,0.14,3.92,3.92
Ukraine,Italy,2023,,1,,Spada-2000,SAM system,1,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,6.4,6.4,6.4
Ukraine,Italy,2023,,75,?,Aspide,long-range air-to-air missile/SAM,75,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; for Spada-2000 SAM,0.07,5.4,5.4
