Transfers of major conventional arms from All countries  to Ukraine  . Deals with deliveries made for the year range '2010' to '2024' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 5 Jan 2026 11:48:34 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Ukraine,United States,2022,,18,,M-109A6 155mm Paladin,self-propelled gun,18,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.54,9.72,9.72
Ukraine,Canada,2022,,50,?,M-982 Excalibur,guided shell,50,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.02,0.8,0.8
Ukraine,Australia,2022,,6,,UFH/M-777 155mm,towed gun,6,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.4,2.4,2.4
Ukraine,Netherlands,2022,,10,?,MO-120-RT 120mm,mortar,10,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.12,1.2,1.2
Ukraine,France,2023,,2,,Ground Master-200,air-search radar,1,?,2023,New,,10,20,10
Ukraine,United Kingdom,2022,,200,?,FGM-148 Javelin,anti-tank missile,200,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,0.01,2.4,2.4
Ukraine,Netherlands,2022,?,8,,PzH-2000 155mm,self-propelled gun,8,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.8,14.4,14.4
Ukraine,Poland,2022,?,14,,Leopard-2A4,tank,14,,2023,Second hand,Second-hand; aid 2022 Russian invasion of Ukraine,1.6,22.4,22.4
Ukraine,Spain,2024,,1,,I-HAWK,SAM system,1,,2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,14,14,14
Ukraine,Poland,2022,,4,?,S-125 Newa-SC,SAM system,4,?,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,10,40,40
Ukraine,Poland,2023,,14,?,MiG-29,fighter aircraft,14,?,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,8.26,115.64,115.64
Ukraine,France,2022,,56,,AMX-10RC,armoured car,56,,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; AMX-10RCR version,0.48,26.88,26.88
Ukraine,United Kingdom,2022,,42,?,FV-432,armoured personnel carrier,42,?,2023; 2024,Second hand,Second-hand; financed with private donations,0.12,5.04,5.04
Ukraine,Netherlands,2022,,5,,TPQ-36 Firefinder,artillery locating radar,5,,2022,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,1.2,6,6
Ukraine,United States,2023,,,,UFH/M-777 155mm,towed gun,41,?,2023; 2024,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine; designation uncertain (reported as '155mm Howitzers'),0.4,0,16.4
Ukraine,Germany,2022,?,18,,Leopard-2A6,tank,18,,2023,Second hand,Second-hand; aid after 2022 Russian invasion of Ukraine,2,36,36
Ukraine,Latvia,2022,,12,?,Stinger,portable SAM,12,?,2022,Second hand,Second-hand; aid,0.03,0.38,0.38
